SYMBOL,SERIES,OPEN,CLOSE,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,ISIN
NDTV,EQ,243.6,250.5,238.6,350648,86826807,4637,INE155G01029
NECCLTD,EQ,31.4,33.95,31.45,3182111,106065715.3,11239,INE553C01016
NECLIFE,EQ,27.8,27.55,27.55,195103,5398360.35,874,INE023H01027
NELCAST,EQ,67.55,66.25,66.95,164809,11084359.35,1724,INE189I01024
NELCO,BE,662.9,645.3,649.85,20101,13088387.5,881,INE045B01015
NEOGEN,EQ,1683.25,1644.9,1664.85,29482,49248422.5,6840,INE136S01016
NESCO,EQ,533.4,523.4,528.75,38384,20187846.85,2264,INE317F01035
NESTLEIND,EQ,17535,17344.2,17429.25,59279,1033362909,22676,INE239A01016
NETF,EQ,182.98,177.47,178.27,262553,46473542.21,159,INF277K015R5
NETFAUTO,EQ,106.95,105.06,105.75,28853,3025690.71,274,INF204KC1337
NETFCONSUM,EQ,75,73.07,73.47,29651,2177975.18,109,INF204KA1LD7
NETFDIVOPP,EQ,45.64,45.3,45.24,2038,92253.11,111,INF204KA1MS3
NETFGILT5Y,EQ,49.65,49.53,49.67,9219,456687.75,61,INF204KC1030
NETFIT,EQ,37,36.9,36.84,987874,36505048.73,3526,INF204KB15V2
NETFLTGILT,EQ,22.75,22.44,22.6,12187,274221.94,77,INF204KB1882
NETFMID150,EQ,114,110.6,110.54,246517,27414306.76,1224,INF204KB1V68
NETFNIF100,EQ,182.39,179.85,180.47,722,130317.56,83,INF204K014N5
NETFNV20,EQ,101.4,100.23,100.58,19423,1962723.16,279,INF204KB18I3
NETFPHARMA,EQ,13.74,13.69,13.56,357570,4898560.47,753,INF204KC1089
NETFSDL26,EQ,107.41,107.57,107.55,153552,16514924.47,19,INF204KC1022
NETFSILVER,EQ,67.3,67.34,67.47,705057,47168181.8,1038,INF204KC1402
NETWORK18,EQ,84,81.65,83.1,1506468,126156110.8,7738,INE870H01013
NEULANDLAB,EQ,1163.5,1123.05,1153.55,36446,41649101.7,4332,INE794A01010
NEWGEN,EQ,515,511.2,512.4,91019,46925177.45,8747,INE619B01017
NEXTMEDIA,BE,5,5,4.8,34843,173633.15,93,INE747B01016
NFL,EQ,53.35,52,53.1,944006,49816362.85,5904,INE870D01012
NGIL,BE,212.2,213.15,212.2,2979,622540.55,29,INE236Y01012
NH,EQ,684.9,690.35,681.85,486515,336691710.9,28214,INE410P01011
NHAI,N2,1209.99,1211,1208.2,1559,1886670.85,16,INE906B07CB9
NHAI,N5,1217.65,1217.65,1227.91,12,14611.8,1,INE906B07DE1
NHAI,N6,1255,1249.99,1255,5624,7038115.28,60,INE906B07DF8
NHAI,N8,1104,1104,1104,800,883187.5,4,INE906B07EH2
NHAI,N9,1199.99,1191.91,1194.59,1105,1316498.99,10,INE906B07EI0
NHAI,NA,1205,1204.42,1205,1330,1602148.4,32,INE906B07EJ8
NHAI,ND,1236,1236,1236,1,1236,1,INE906B07EO8
NHAI,NE,1253.6,1267.9,1260,1203,1512089.3,11,INE906B07EP5
NHBTF2014,N2,6650,6650,6650,80,532000,3,INE557F07090
NHBTF2014,N6,7050,6946,7100,94,653425,8,INE557F07132
NHBTF2023,N2,5340,5340,5720,200,1068000,1,INE557F07140
NHBTF2023,N6,6310,6307,6305,41,259606.8,7,INE557F07181
NHPC,EQ,27.85,27.45,27.85,4705969,129924589.6,11838,INE848E01016
NIACL,EQ,117.7,114.75,115.95,743528,85147235.45,10191,INE470Y01017
NIBL,EQ,22.2,25.3,21.1,106123,2583281.3,430,INE047O01014
NIDAN,SM,38,37.4,37.95,24000,911050,23,INE0J6L01013
NIFTYBEES,EQ,190,186.34,187.34,2584326,483123793.4,23411,INF204KB14I2
NIITLTD,EQ,574,600.8,584.45,4554643,2724121615,117472,INE161A01038
